WORD,LastCell
C1G5J0,Acetylation (Protein N-term);Methylation(KR)
A0A0A0HRG7,Acetylation (Protein N-term);Carbamidomethylation;Methylation(KR);Deamidation (NQ)
C1G9P8,Oxidation (M);Carbamidomethylation
C1G5V6,Acetylation (N-term);Acetylation (K);Methylation(KR);Dimethylation(KR);Phosphorylation (STY);Formylation;Carbamidomethylation;Sodium adduct;Dihydroxy
C1G5F6,Replacement of proton by lithium
C1GHB9,2-amino-3-oxo-butanoic_acid
C1GEX7,Acetylation (K);Formylation
C1GLJ7,Methylation(KR)
C1FYM2,Deamidation (R)
C1G1T5,Deamidation (R)
C1GJB5,Oxidation (M)
C1G1F2,Pyro-glu from Q;Oxidation (M)
C1G3L4,Methylation(others);Carbamidomethylation
C1G989,Deamidation (NQ);Carbamidomethylation;Methylation(KR);Dihydroxy
C1GI58,Oxidation (M)
A0A0A0HT80,Carbamylation;Phosphorylation (STY)
C1G9P8,Phosphorylation (STY);Acetylation (K)
C1G653,Methylation(others)
C1G1F2,Dehydration;Methylation(KR)
C1GCI0,Methylation(KR)
C1G065,Carbamylation
C1GM00,Methylation(KR);Amidation;Deamidation (NQ);Oxidation (M);Carbamidomethylation;Dehydration
C1G3C4,Carbamylation
C1GHJ0,Carbamidomethylation;Methylation(others)
C1GHJ0,2-amino-3-oxo-butanoic_acid
C1GLI2,Methylation(others)
C1GEX7,Deamidation (NQ);Oxidation (M)
C1GLA5,Carboxylation (DKW)
C1GML7,2-amino-3-oxo-butanoic_acid
C1GBS0,Oxidation (M)
C1GA17,Formylation;Acetylation (K)
C1GAG4,Deamidation (NQ);Methylation(KR);Phosphorylation (STY);Carboxylation (DKW)
C1GEM3,Carbamylation
C1GLI2,Dethiomethyl
C1FYJ9,Phosphorylation (STY);Acetylation (K);Methylation(KR);Dihydroxy
C1GHS5,Carbamidomethylation;Methylation(KR);Sodium adduct;Methylation(others)
C1GHV2,Oxidation (M);Deamidation (NQ);Carbamidomethylation;Dehydration
C1FZR2,Acetylation (N-term);Deamidation (NQ);Carbamidomethylation;Dihydroxy
C1GEN5,Acetylation (Protein N-term);Methylation(KR);Amidation
C1G6F6,Carboxylation (E)
C1GAC4,Lysine oxidation to aminoadipic semialdehyde
C1G0C5,2-amino-3-oxo-butanoic_acid
C1GLB8,Deamidation (NQ)
C1G0A1,Methylation(KR)
C1GII4,Acetylation (N-term);Deamidation (NQ);Methylation(KR)
C1G1F2,Carbamylation;Carbamidomethylation;Acetylation (K);Methylation(KR)
C1GLI9,Carbamidomethylation;Methylation(KR);Dehydration
C1G9P8,Methylation(KR);Acetylation (K);Sodium adduct
C1GEN5,Sulfation
C1GHS5,Dimethylation(KR)
C1GK99,Deamidation (NQ);Carbamidomethylation
C1GAC4,Acetylation (Protein N-term)
C1FYX6,Aminoethylbenzenesulfonylation
C1GJB5,Methylation(KR)
C1GAG3,Hexose (NSY)
C1FZL2,Oxidation (M)
C1GKQ6,Oxidation (M)
C1G064,Alpha-amino adipic acid
C1G9D7,Oxidation (M)
C1G1F2,Deamidation followed by a methylation
C1GA20,Oxidation (HW);Methylation(KR)
C1G0N2,Acetylation (TSCYH)
C1GCK9,Amidation;Methylation(KR)
C1G6U5,Deamidation (NQ);Methylation(KR)
C1GGQ3,Carbamidomethylation
C1GJD9,Deamidation (NQ)
C1G056,Carbamidomethylation
C1GCI0,Phosphorylation (STY);Methylation(KR)
C1GC65,Methylation(C-term)
C1G3Y8,Methylation(KR);Deamidation (NQ);Sodium adduct;Dehydration
A0A0A0HU84,Sodium adduct
C1FYJ9,Acetylation (N-term);Deamidation (NQ);Phosphorylation (STY);Formylation;Sodium adduct;Dihydroxy
C1GM00,Ethylation
C1FYR6,Reduced 4-Hydroxynonenal
A0A0A0HWY2,Carbamidomethylation;Lysine oxidation to aminoadipic semialdehyde;Deamidation (NQ);2-amino-3-oxo-butanoic_acid;Triglutamyl
C1G3L4,Pyro-glu from Q
C1G1T5,Acetylation (N-term);Acetylation (K);Dimethylation(KR);Methylation(KR);Amidation;Deamidation (NQ);Carbamylation;Carboxylation (DKW);Phosphorylation (STY);Formylation;Dehydration
C1GAM9,Pyro-glu from Q;Methylation(KR);Phosphorylation (STY)
A0A0A0HS69,Iodination
C1GBZ4,Methylation(others);Carbamidomethylation
C1GLA5,Pyro-glu from Q;Deamidation (NQ)
C1GA13,Acetylation (Protein N-term);Methylation(KR);Sodium adduct
C1G1R3,Carbamidomethylation
C1G7Y9,Oxidation (M)
A0A0A0HV09,Methylation(KR);Dehydration
C1GKC9,Acetylation (K)
C1GB47,Formylation
C1G6F6,Acetylation (N-term);Acetylation (K);Methylation(KR);Dehydration;Dimethylation(KR)
A0A0A0HV09,Acetylation (N-term);Phosphorylation (STY);Oxidation (M)
C1GGB6,Carbamidomethylation
C1G241,Methylation(KR)
C1GLU6,Amidation;Methylation(KR)
C1G411,Carbamidomethylation;Methylation(KR)
C1G9D7,Methylation(KR)
C1G785,Deamidation (NQ)
A0A0A0HV09,O-Diisopropylphosphorylation
C1G0X4,Amidation
C1G810,Phosphorylation (STY);Formylation;Methylation(KR)
C1GLI2,Deamidation (NQ);Formylation;Methylation(KR);Sodium adduct
C1FYR6,Acetylation (Protein N-term);Carboxylation (E);Sodium adduct;Phosphorylation (STY)
C1GM00,Sodium adduct;Deamidation (NQ)
C1G0X4,Dehydration;Methylation(KR)
C1GKC9,Deamidation (NQ);Methylation(KR);Oxidation (M)
C1GII4,Pyro-glu from Q
C1GB47,MDA adduct +54
C1GBT4,Deamidation (NQ)
C1GLM2,Nucleophilic addition to cytopiloyne+H2O
C1GEN5,Acetylation (N-term);Amidation;Carbamidomethylation;Acetylation (K);Phosphorylation (STY)
C1GFM6,Pyro-glu from Q
C1G1E5,Carbamidomethylation
C1GKC9,Deamidation (R)
C1G1F2,Lysine oxidation to aminoadipic semialdehyde;Carbamidomethylation
A0A0A0HUJ5,Carbamidomethylation;Deamidation (NQ);Methylation(KR)
C1GAG3,Dihydroxy;Acetylation (K)
C1GLJ7,Carboxymethyl
A0A0A0HV38,Oxidation (M)
C1G5F6,Acetylation (K)
C1GCK7,2-OH-ethyl thio-Ser
C1GLM4,Carbamylation
C1FZF8,Pyro-glu from Q
C1G0G7,Oxidation (M)
C1G1F2,Acetylation (Protein N-term)
C1GKC9,Pyro-glu from Q;Oxidation (M)
C1G411,Phosphorylation (STY);Sodium adduct
C1GIX7,Methylation(KR);Dehydration
C1GLM2,Methylation(others)
C1GKC9,Amidation
C1GN84,2-amino-3-oxo-butanoic_acid
A0A0A0HV62,Oxidation (M);Dehydration
C1GIX7,Acetylation (N-term);Methylation(KR);Phosphorylation (STY)
C1G6F6,Phosphorylation (STY);Deamidation (NQ);Methylation(KR)
C1GFG5,Formylation;Phosphorylation (STY)
C1GJI0,Methylation(others)
C1GKC9,Dehydration;Methylation(KR)
C1GMZ1,Methylation(others)
C1GA06,Oxidation (M)
C1G5F6,Carbamidomethylation;Methylation(KR);Amidation;Deamidation (NQ);Deamidation followed by a methylation;Deamidation (R);2-amino-3-oxo-butanoic_acid;Michael addition with methylamine;Dehydration
C1G5F6,Replacement of 2 protons by nickel
C1GMV8,Phenethyl isothiocyanate
C1GLX8,Acetylation (N-term);Methylation(KR);Deamidation (NQ);Formylation;Hexose (NSY);Dehydration
C1GFA3,Carboxyl modification with ethanolamine
C1G5F6,Deamidation (R)
C1FZR3,Formation of five membered aromatic heterocycle
C1GF12,Carbamidomethylation
A0A0A0HWJ2,Carbamidomethylation
C1G002,Deamidation (NQ);Carbamidomethylation;Acetylation (K);Oxidation (M)
C1GCI0,Hexose (NSY);Phosphorylation (STY)
C1GIL9,Deamidation (NQ)
C1GA14,Biotinylation;Deamidation (NQ)
C1G0D4,Dihydroxy;Methylation(KR)
C1FZT8,Carbamidomethylation;Deamidation (NQ);Dimethylation(KR);Methylation(KR)
C1G2V1,Acetylation (Protein N-term);Deamidation (NQ);Acetylation (K);Methylation(KR)
C1G3T6,Formylation
C1GLJ7,Deamidation (NQ);Carbamidomethylation;Oxidation (M)
C1G6F6,Pyro-glu from Q
C1GLI9,Oxidation (M);Deamidation (NQ)
C1GGT8,Deamidation (NQ);Carbamidomethylation;Methylation(KR)
C1GML7,Phosphorylation (STY);Deamidation (NQ);Methylation(KR)
C1G5F6,Amidation
C1GBZ4,Deamidation (NQ);Sodium adduct;Phosphorylation (STY);Oxidation (M)
C1G6U5,Acetylation (N-term);Sulphone;Deamidation (NQ)
C1GHS5,Acetylation (N-term);Acetylation (K);Methylation(KR);Oxidation (M);Dihydroxy
C1GA13,Acetylation (N-term);Methylation(KR);Dimethylation(KR);Deamidation (NQ);Carbamidomethylation;Sodium adduct
C1G3V5,Dehydration
C1GEN5,Methylation(KR);Hexose (NSY);Carbamylation
C1G5F6,Dehydration;Carbamidomethylation;Methylation(KR)
C1G6U5,Oxidation (M);Dehydration
C1GM00,Oxidation to nitro
C1GAM9,Monoglutamyl
C1GAK7,Carbamidomethylation
C1G2J3,Carbamidomethylation;Amidation
"C1G5F6,""2,3-dihydro-2,2-dimethyl-7-benzofuranol N-methyl carbamate"""
C1G391,Deamidation (R)
C1GHS5,O-Diisopropylphosphorylation
C1GHJ0,Sodium adduct
C1GAF5,Pyro-glu from Q
C1G942,MDA adduct +54
C1FZR2,Oxidation (M);Carbamidomethylation
C1GA13,Dehydration;Methylation(KR)
C1G3T9,Carboxylation (DKW)
C1G064,Deamidation (NQ);Acetylation (K);Methylation(KR);Phosphorylation (STY);Carbamidomethylation;Dehydration
C1G0E5,Carboxyethyl
C1GAM9,Ammonia-loss (N)
C1G0E3,Carbamidomethylation;Pyridylacetyl;Phosphoadenosine;Methylation(KR);Acetylation (K)
C1FZR2,Deamidation (NQ);Dimethylation(KR)
C1GEX7,Dethiomethyl
C1GLI2,Biotinylation
C1G8S5,Acetylation (K)
C1GHV2,Carbamidomethylation;Acetylation (K);Methylation(KR);Amidation;Deamidation (NQ);Ethylation;Methylation(others)
C1FYQ2,Carbamidomethylation
A0A0A0HRG7,Deamidation (NQ)
C1G1C8,Replacement of proton by lithium
C1G391,Amidation
C1GF14,Deamidation (NQ)
C1GFA3,Methylation(KR);Acetylation (K);Dehydration
A0A0A0HRG7,Deamidation (R)
C1GLX8,Methylation(others)
C1G283,Acetylation (N-term);Sodium adduct;Phosphorylation (STY);Oxidation (M)
C1GLI9,Methylation(KR);Carbamidomethylation;Dehydration
C1GMV8,2-amino-3-oxo-butanoic_acid
C1GC65,Biotinylation
C1G413,Oxidation (M)
C1G9X3,Acetylation (K)
C1G5F6,Deamidation followed by a methylation
C1GLV8,Deamidation (NQ);Sodium adduct;Phosphorylation (STY);Dehydration;Oxidation (M)
C1G9P8,Amidation;Methylation(KR)
A0A0A0HT80,Biotin polyethyleneoxide amine
C1G6U5,Methylation(KR)
C1GJX3,Carbamidomethylation
A0A0A0HUJ5,3-sulfanylpropanoyl
C1GMZ1,Deamidation (NQ);Sodium adduct;Dehydration;Biotinylation
C1GM00,Deamidation (NQ);Methylation(KR);Dimethylation(KR);Carbamidomethylation;Sodium adduct;Dehydration
C1G0X4,Acetylation (Protein N-term);Methylation(KR)
C1G0T1,2-amino-3-oxo-butanoic_acid
C1GM03,Carbamidomethylation;Acetylation (Protein N-term);Deamidation (NQ);Methylation(KR);Dehydration
C1GEJ7,Carbamidomethylation;Methylation(KR);Methylation(others)
C1GED5,Acetylation (Protein N-term);Methylation(KR);Oxidation (M)
C1G561,Carbamidomethylation
C1G9X0,Pyro-glu from Q
C1GB13,Deamidation (NQ)
C1G1H4,Carbamidomethylation
C1GLI2,2-amino-3-oxo-butanoic_acid
C1FZ57,Oxidation (M)
C1G9X3,Deamidation (NQ);Carbamidomethylation;Acetylation (K);Methylation(KR)
C1GE52,Acetylation (N-term);Methylation(KR);Phosphorylation (STY)
C1G6I0,Acetylation (N-term);Phosphorylation (STY)
C1GCK9,Carboxylation (DKW);Methylation(KR)
C1G0D4,Methylation(others);Carbamidomethylation
C1GLI2,Acetylation (N-term);Phosphorylation (STY);Deamidation (NQ);Methylation(KR);Oxidation (M)
"C1G0D4,""Carbamidomethylation";"2,3-dihydro-2,2-dimethyl-7-benzofuranol N-methyl carbamate""";"Propionamide (K, X@N-term)"""
A0A0A0HV62,Acetylation (N-term);Acetylation (K);Methylation(KR);Carboxylation (DKW);Phosphorylation (STY);Carbamidomethylation
C1GJS2,Formylation
C1GE03,Carbamylation;Methylation(KR)
C1GKC9,Lysine oxidation to aminoadipic semialdehyde
C1GEN5,Hexose (NSY)
C1G411,Acetylation (N-term);Dehydration;Acetylation (K);Methylation(KR);Dihydroxy
A0A0A0HYY2,Methylation(KR)
C1G810,Deamidation (NQ);Carbamidomethylation;Methylation(KR);Oxidation (M);Dimethylation(KR)
C1G391,Deamidation followed by a methylation
C1G9C0,Carboxylation (DKW)
C1GGR5,Methylation(KR);Carbamidomethylation
C1G2V1,Oxidation (M);Dimethylation(KR)
C1GBZ4,Biotinylation;Deamidation (NQ)
C1G4M5,Oxidation (M)
C1GFA3,Phosphorylation (STY);Dihydroxy
C1GKC9,Acetylation (Protein N-term)
A0A0A0HQC4,Methylation(KR)
C1GB13,Amidation
C1FYW9,Myristoylation
C1G5P1,Carboxyethyl
C1G9X3,Amidation
A0A0A0HS69,Acetylation (N-term);Amidation
C1G9X9,Amidation
C1G9X3,Dehydration
C1G0D4,Replacement of proton by lithium;Carbamidomethylation
A0A0A0HS69,Carbamidomethylation;Phosphorylation (STY)
C1G0D4,Aminoethylcysteine
C1G0X4,Carbamidomethylation;Methylation(KR);Ammonia-loss (N);Deamidation (NQ);Carboxylation (DKW);Replacement of proton with ammonium ion
C1G0E3,Methylation(others)
C1G0E5,Methionine replacement by azido homoalanine
C1FYW9,Pyro-glu from Q;Deamidation (NQ)
C1G3L4,Carbamidomethylation;Methylation(KR);Amidation;Deamidation (NQ);Lipoyl;2-amino-3-oxo-butanoic_acid
C1GLU6,Tyrosine oxidation to 2-aminotyrosine
C1G5V6,Formylation;Deamidation (NQ);Acetylation (K)
C1GA20,Formylation (Protein N-term)
C1GGT8,Oxidation (M);Methylation(KR)
C1G3T6,Carbamylation;Methylation(KR)
C1FZ57,Methylation(KR)
C1GHV2,Carbamylation
C1GDE1,Carbamidomethylation
C1G5F6,Acetylation (Protein N-term)
"C1GHS5,""Propionamide (K, X@N-term)"""
C1G0X4,Carboxylation (DKW);Carbamidomethylation
C1G5F6,Oxidation (HW);Methylation(KR)
A0A0A0HV62,Replacement of proton with ammonium ion
C1GHD6,Methylation(others)
C1GKC9,Pyro-glu from E;Methylation(KR)
C1GBZ4,2-amino-3-oxo-butanoic_acid
C1G810,Methionine replacement by azido homoalanine
C1G371,Carbamidomethylation;Methylation(others)
C1GCT8,Carbamidomethylation;Methylation(KR);Deamidation (NQ);Nethylmaleimidehydrolysis;Oxidation (M);Hexose (NSY);Methylation(others)
C1GHJ0,Deamidation (NQ);Acetylation (K);Methylation(KR);Carboxylation (DKW);Phosphorylation (STY);Carbamidomethylation
C1G3C4,Deamidation (NQ);Carbamidomethylation;Methylation(KR);Amidation
C1GAF5,Carbamidomethylation
C1G4M5,Methylation(KR)
C1G810,Deoxy
C1GLA5,Propargylamine
C1GM08,Deamidation (NQ)
C1G0Q6,Carbamidomethylation
C1GN52,Methylation(others)
A0A0A0HV09,Acetylation (K)
C1G064,Oxidation or Hydroxylation
C1G3Y8,Carbamidomethylation;Methylation(KR);Deamidation (R)
A0A0A0HUJ5,N-acetyl neuraminic acid
C1G391,Lysine oxidation to aminoadipic semialdehyde
C1G9C0,Pyro-glu from Q
C1G3Y8,Deamidation (NQ);Methylation(KR);Carbamylation;Phosphorylation (STY);Sodium adduct;Dehydration
C1G0E5,Carbamylation;Methylation(KR);Oxidation (M)
A0A0A0HVH2,Deamidation (NQ);Carboxylation (DKW)
C1G0C5,Deamidation (NQ);Carbamidomethylation;Methylation(KR)
C1G391,Acetylation (Protein N-term);Sodium adduct
C1GCK9,Arginine replacement by Nitropyrimidyl ornithine
C1GII4,Iminobiotinylation
C1G0B0,Phosphorylation to pyridyl thiol
C1G631,Oxidation (M)
C1GGT8,Methylation(KR);Carbamylation
C1GEC2,Carbamidomethylation
C1G1F2,Carbamidomethylation;Ethylation;Methylation(KR);Methylation(others)
A0A0A0HV09,Deamidation (NQ);Methylation(KR);Acetylation (K);Dimethylation(KR);Sodium adduct
C1GDJ1,Deamidation (NQ)
C1FYJ9,Carboxylation (DKW)
C1GII4,Deamidation (NQ);Acetylation (K);Oxidation (M)
C1GA20,Replacement of proton by potassium
C1GM00,Oxidation (M);Methylation(KR);Deamidation (NQ);Dehydration;Carbamidomethylation;Dihydroxy
C1G1C8,Deamidation (NQ)
C1GGI0,Acetylation (N-term);Acetylation (K);Phosphorylation (STY)
C1G8S5,Lysine oxidation to aminoadipic semialdehyde
A0A0A0HVP8,Carboxylation (DKW);Methylation(KR)
C1GKL7,Carbamidomethylation
C1G5F6,Formylation (Protein N-term);Deamidation (NQ)
C1GMZ1,2-amino-3-oxo-butanoic_acid
C1GM03,Carbamylation
C1G821,Acetylation (N-term);Oxidation (HW);Methylation(KR);Amidation
C1G283,Pyro-glu from Q;Methylation(KR)
C1GK98,Carbamidomethylation
C1G8S5,Acetylation (Protein N-term)
C1GAA6,Carbamidomethylation
A0A0A0HV62,Carbamidomethylation;Deamidation (NQ);Methylation(KR);Phosphorylation (STY);Replacement of proton by lithium
C1GJS2,Carbamylation;Methylation(KR)
C1GLA6,Dehydration;Methylation(KR)
C1G821,Carboxylation (DKW)
C1FYP7,Oxidation (M)
C1G0E5,Methylation(KR);Carbamidomethylation;Dehydration
C1GEN5,Oxidation (HW)
C1GDK2,Dehydration;Methylation(KR)
C1FZ00,Acetylation (Protein N-term);Sulfation
C1G5F6,Acetylation (N-term);Methylation(KR);Oxidation (HW);Deamidation (NQ);Oxidation (M);Dehydration
C1GMV8,Sodium adduct
A0A0A0HT80,Phosphorylation (STY);Dimethylation(KR);Amidation;Dehydration;Sodium adduct
C1G4N0,Methylation(others)
C1GFT4,Deamidation (R)
C1GA13,Sulfation;Methylation(KR)
C1GMU5,MDA adduct +54
C1GB47,Methylation(others)
C1G9X3,Acetylation (Protein N-term)
C1FYR6,Dehydration;Methylation(KR)
C1G9X3,Oxidation (HW);Methylation(KR)
C1GDA8,Methylation(others);Carbamidomethylation
C1GFL2,Carbamidomethylation;Methylation(KR)
C1GF52,Carbamidomethylation
C1GHS5,Acetylation (K);Deamidation (NQ)
C1GII4,Ethanolation (KR)
C1G064,Formylation;Acetylation (K)
C1GCT8,Methylation(others)
C1G989,Methylation(KR);Sulfation
C1G8F8,Deamidation (NQ)
C1GLI2,Sodium adduct
C1FZ57,Carboxymethyl
C1GEX7,Acetylation (N-term);Deamidation (NQ);Methylation(KR)
C1GLI9,Deamidation (NQ);Carbamidomethylation;Sodium adduct;Phosphorylation (STY);Dehydration
C1GG76,Carbamidomethylation;Deamidation (NQ);Methylation(KR)
C1GHS5,Deamidation (NQ);Formylation;Carbamidomethylation;Methylation(KR)
C1G7E0,Acetylation (Protein N-term)
C1GG76,Dimethylation(KR)
C1GHJ0,Oxidation (M);Carbamidomethylation
C1G002,Replacement of proton with ammonium ion
C1GAM9,Carboxylation (DKW);Deamidation (NQ)
C1GAG4,Pyro-glu from Q;Carbamidomethylation
C1GML7,Carbamidomethylation;Deamidation (NQ);Dimethylation(KR);Deamidation (R);Dehydration
C1GML7,Oxidation (M);Sodium adduct
C1GLX8,2-amino-3-oxo-butanoic_acid
C1G8F8,Amidation
C1GHB9,Dihydroxy
C1GE98,Carbamidomethylation
C1G5T0,Carbamidomethylation;Deoxy;Methylation(KR);Deamidation (NQ);Dehydration;Methylation(others)
A0A0A0HU09,Acetylation (N-term)
C1FYF6,Pyro-glu from Q
C1G821,Pyro-glu from Q;Methylation(KR)
C1GHV2,Phosphorylation (STY);Carbamidomethylation;Acetylation (K);Methylation(KR)
C1GK99,Carbamidomethylation;Methylation(KR)
C1G065,Oxidation (HW)
C1G3Y8,Acetylation (TSCYH)
C1G0E5,Dehydration;Methylation(KR)
C1G9C0,Carbamidomethylation;Acetylation (N-term);Dehydration
C1GHS5,Amidation
C1GGQ3,Deamidation (NQ)
C1GCI0,Pyro-glu from Q;Methylation(KR)
C1G1T5,Carbamylation;Acetylation (K)
C1G0D4,Carbamidomethylation;Methylation(KR);Amidation;Methionine replacement by azido homoalanine;Oxidation (HW);Deamidation (NQ);Methylation(others);Tryptophan oxidation to kynurenin;Dehydration;Dethiomethyl;Deamidation followed by a methylation;Oxidation (M);Deamidation (R);Michael addition with methylamine;Dihydroxy;Biotinylation
C1GHS5,Dehydration;Methylation(KR)
C1G2H4,Carbamidomethylation
C1GEN5,Dehydration;Methylation(KR)
C1G6T3,Ammonia-loss (N)
C1G9P8,Formylation;Acetylation (K)
C1GHV2,Ubiquitin
C1FZR3,Amidation;Acetylation (K)
C1G1V9,Acetylation (Protein N-term)
C1G114,Carbamidomethylation
C1G3T6,Methylation(others)
A0A0A0HS69,Formylation
C1GM08,Acetylation (Protein N-term)
C1G1G2,Pyro-glu from Q
C1G3Y8,Pyro-glu from Q;Methylation(KR)
C1G942,Methylation(others)
C1G5C2,Carbamidomethylation
C1GBZ4,Sodium adduct
C1GKC9,Carbamidomethylation;Methylation(KR)
C1G0E3,Acetylation (Protein N-term);Acetylation (K);Methylation(KR);Deamidation (NQ);Formylation;Carbamidomethylation
C1FYR1,phosphate-ribosylation
C1G064,Acetylation (N-term);Acetylation (K);Methylation(KR);Deamidation (NQ);Carbamylation;Dehydration
C1GHJ0,Methylation(KR);Hexose (NSY);Dehydration
C1GA17,Acetylation (K);Methylation(KR)
C1GLU6,Carbamidomethylation;Methylation(KR);Amidation
C1GK98,Deamidation (NQ);Acetylation (K);Amidation
C1GML7,Methylation(KR)
C1G3T9,Propargylamine
C1G712,Methylation(KR);Dihydroxy;Sodium adduct;Amidation;Dehydration
C1GCJ6,Dehydration;Methylation(KR)
C1G712,Acetylation (N-term);Acetylation (K);Dimethylation(KR);Formylation;Hexose (NSY);Myristoylation
C1GBU2,Oxidation (M)
C1G0X4,Biotinylation;Methylation(KR)
C1G411,Deamidation (NQ);Carbamidomethylation;Acetylation (K)
C1GDQ2,Acetylation (Protein N-term);Deamidation (NQ)
C1GBB1,2-amino-3-oxo-butanoic_acid
C1GM00,Phosphorylation (STY);Dimethylation(KR);Carbamylation;Carboxylation (DKW)
C1G5V6,Amidination of lysines or N-terminal amines with methyl acetimidate
C1G0C5,Methylation(KR)
C1G391,Carbamylation;Phosphorylation (STY)
C1GM03,Ethylation
C1G0E3,2-amino-3-oxo-butanoic_acid
C1FYJ7,Amidination of lysines or N-terminal amines with methyl acetimidate
C1G1C8,Acetylation (Protein N-term)
C1GCX5,Carbamidomethylation
C1G002,Carbamidomethylation;Deamidation (NQ);2-amino-3-oxo-butanoic_acid;Oxidation (M);Methylation(KR)
C1FZL1,Carbamidomethylation
C1GAG3,Carboxylation (DKW);Methylation(KR);Phosphorylation (STY)
C1GA13,Pyro-glu from Q
C1G0P4,Deamidation (NQ)
A0A0A0HVP8,Acetylation (Protein N-term);Deamidation (NQ)
